kb_id,year,arabic_name,type,images_count,image_source_folder,extracted_docs_count,reconciliation_status,action,slug,db_status
INF-P-2022-003,2022,محطات صرف ومياه توشكا - الاستصلاح الزراعي,water_wastewater,3,محطات توشكا محطتي صرف و مياه (الاستصلاح الزراعي) عقد رقم 39-2022,90,new_candidate,import_as_new,proj-2022-003,
INF-P-2023-001,2023,جزيرة العاصمة,infrastructure,0,01-جزيرة العاصمة,0,new_candidate,import_as_new,proj-2023-001,
INF-P-2023-002,2023,Basket screen لبيارات توشكي,mechanical_screen,0,02-الباسكت سكرين لبيارات توشكي,3,new_candidate,import_as_new,proj-2023-002,
INF-P-2024-001,2024,شراء رمال,procurement,0,01-شراء رمال,0,new_candidate,import_as_new,proj-2024-001,
INF-P-2024-002,2024,تأريض أرضي لمحطات كارجاس,electrical,0,02-محطات كارجاس تأريض ارضي,1,new_candidate,import_as_new,proj-2024-002,
INF-P-2024-003,2024,محطة الساحل الشمالي 500 م3,water_treatment,0,03-مشروع الساحل الشمالى محطة 500م3,4,probable_duplicate,published_in_production,north-coast-desalination,published
INF-P-2024-004,2024,ثلاجة التمور,industrial_facility,0,04-تلاجة التمور,0,new_candidate,import_as_new,proj-2024-004,
INF-P-2024-005,2024,تغذية مطار العريش,infrastructure,206,05-مشروع تغذيه مطار العريش العرجاني جروب,140,confirmed_duplicate,published_in_production,arish-water-supply,published
INF-P-2024-006,2024,محطة رفع منشأة ناصر الجديدة,pumping_station,0,06-مشروع محطة رفع منشاه ناصر الجديدة,3,new_candidate,import_as_new,proj-2024-006,
INF-P-2024-007,2024,نويبع,infrastructure,0,07- نويبع,4,new_candidate,import_as_new,proj-2024-007,
INF-P-2024-008,2024,محطة معالجة مياه ثلاجات البطاطس - مستقبل مصر,industrial_wastewater,0,08- محطة معالجة مياه ثلاجات البطاطس مستقبل مصر,2,new_candidate,import_as_new,proj-2024-008,
INF-P-2024-009,2024,رفع كفاءة ملعب المريخ البورسعيدي,civil_works,0,09-رفع كفاءه ملعب المريخ البورسعيدي,6,new_candidate,import_as_new,proj-2024-009,
INF-P-2025-001,2025,مسجد قبس من نور,building,3,1- مسجد قبس من نور,67,new_candidate,import_as_new,proj-2025-001,
INF-P-2025-002,2025,البيوت البدوية - رفح,building_housing,269,2- البيوت البدوية رفح,264,new_candidate,import_as_new,proj-2025-002,
INF-P-2025-003,2025,مدينة السيسي - عقد الصرف,wastewater,341,3- مدينة السيسى عقد الصرف,234,new_candidate,import_as_new,proj-2025-003,
INF-P-2025-004,2025,مدينة السيسي - عقد المياه,water_supply,341,3- مدينة السيسى عقد الصرف,234,new_candidate,import_as_new,proj-2025-004,
INF-P-2025-005,2025,مشاريع شمال سيناء - DC,infrastructure,0,DC مشاريع شمال سيناء,24,new_candidate,import_as_new,proj-2025-005,
INF-P-2026-001,2026,المعهد الأزهري بالمنيا - قبس من نور,building,0,01- المعهد الازهري المنيا-قبس من نور,5,new_candidate,import_as_new,proj-2026-001,
INF-P-2026-002,2026,مزرعة أبو منقار,agriculture_facility,0,02-مزرعة ابو منقار,12,new_candidate,import_as_new,proj-2026-002,
INF-P-2026-003,2026,خط تغذية مدينة السلام من رافع الشلاّء,water_supply,0,03- مشروع خط تغذية مدينة السلام من رافع الشلاء,87,new_candidate,import_as_new,proj-2026-003,
INF-P-2026-004,2026,الوحدة الصحية - حياة كريمة,building,0,04- الوحدة الصحية - حياة كريمة,9,new_candidate,import_as_new,proj-2026-004,
INF-P-2026-005,2026,Bianchi,unknown,0,05- Bianchi,21,new_candidate,import_as_new,proj-2026-005,
INF-P-2026-006,2026,آبار الريف المصري - المنيا,water_wells,0,01- المعهد الازهري المنيا-قبس من نور,12,new_candidate,import_as_new,proj-2026-006,
INF-P-2026-007,2026,شبكات مزرعة الأبقار - مدينة السلام,agriculture_infrastructure,0,02-مزرعة ابو منقار,87,new_candidate,import_as_new,proj-2026-007,
INF-P-2026-008,2026,بالم هيلز,infrastructure,0,08- بالم هيلز,7,new_candidate,import_as_new,proj-2026-008,
INF-P-2026-009,2026,مقلب أبو زعبل,waste_management,0,,6,new_candidate,import_as_new,proj-2026-009,
